SUBJECT	OBJECT	METALINK_ID
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://lv.dbpedia.org/resource/Rostova_pie_Donas	https://krr.triply.cc/krr/metalink/id/link/211807261
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://nl.dbpedia.org/resource/Rostov_aan_de_Don	https://krr.triply.cc/krr/metalink/id/link/211807263
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://nn.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807265
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://no.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807267
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://oc.dbpedia.org/resource/Rostov_de_Don	https://krr.triply.cc/krr/metalink/id/link/211807269
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://pl.dbpedia.org/resource/Rostów_nad_Donem	https://krr.triply.cc/krr/metalink/id/link/211807271
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://pnb.dbpedia.org/resource/روستوو_نا_دانو	https://krr.triply.cc/krr/metalink/id/link/211807273
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://pnb.dbpedia.org/resource/روسٹوف_اون_ڈون	https://krr.triply.cc/krr/metalink/id/link/211807275
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://pt.dbpedia.org/resource/Rostov_do_Don	https://krr.triply.cc/krr/metalink/id/link/211807277
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://rdf.freebase.com/ns/m.01v15f	https://krr.triply.cc/krr/metalink/id/link/211807279
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://ro.dbpedia.org/resource/Rostov-pe-Don	https://krr.triply.cc/krr/metalink/id/link/211807280
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://ru.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807282
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://sco.dbpedia.org/resource/Rostov-on-Don	https://krr.triply.cc/krr/metalink/id/link/211807284
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://simple.dbpedia.org/resource/Rostov_on_Don	https://krr.triply.cc/krr/metalink/id/link/211807286
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://sk.dbpedia.org/resource/Rostov_nad_Donom	https://krr.triply.cc/krr/metalink/id/link/211807288
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://sl.dbpedia.org/resource/Rostov_na_Donu	https://krr.triply.cc/krr/metalink/id/link/211807290
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://sr.dbpedia.org/resource/Ростов_на_Дону	https://krr.triply.cc/krr/metalink/id/link/211807292
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://sv.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807294
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://tg.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807296
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://tr.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807298
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://tt.dbpedia.org/resource/Дондагы_Ростов	https://krr.triply.cc/krr/metalink/id/link/211807300
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://tt.dbpedia.org/resource/Тындагы_Ростов	https://krr.triply.cc/krr/metalink/id/link/211807302
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://uk.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807304
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://ur.dbpedia.org/resource/روستوف-نا-دونو	https://krr.triply.cc/krr/metalink/id/link/211807306
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://uz.dbpedia.org/resource/Rostov-Don	https://krr.triply.cc/krr/metalink/id/link/211807308
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://vi.dbpedia.org/resource/Rostov_trên_sông_Đông	https://krr.triply.cc/krr/metalink/id/link/211807310
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://vo.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807312
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://war.dbpedia.org/resource/Rostov-on-Don	https://krr.triply.cc/krr/metalink/id/link/211807314
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://www.wikidata.org/entity/Q908	https://krr.triply.cc/krr/metalink/id/link/211807316
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://zh.dbpedia.org/resource/顿河畔罗斯托夫	https://krr.triply.cc/krr/metalink/id/link/211807318
http://ar.dbpedia.org/resource/روستوف-نا-دونو	http://ar.dbpedia.org/resource/%D8%B1%D9%88%D8%B3%D8%AA%D9%88%D9%81-%D9%86%D8%A7-%D8%AF%D9%88%D9%86%D9%88	https://krr.triply.cc/krr/metalink/id/link/211807189
http://az.dbpedia.org/resource/Rostov-na-Donu	http://af.dbpedia.org/resource/Rostof_aan_die_Don	https://krr.triply.cc/krr/metalink/id/link/211807069
http://az.dbpedia.org/resource/Rostov-na-Donu	http://ar.dbpedia.org/resource/روستوف-نا-دونو	https://krr.triply.cc/krr/metalink/id/link/211807192
http://az.dbpedia.org/resource/Rostov-na-Donu	http://be-x-old.dbpedia.org/resource/Растоў-на-Доне	https://krr.triply.cc/krr/metalink/id/link/211807411
http://az.dbpedia.org/resource/Rostov-na-Donu	http://be.dbpedia.org/resource/Горад_Растоў-на-Доне	https://krr.triply.cc/krr/metalink/id/link/211807413
http://az.dbpedia.org/resource/Rostov-na-Donu	http://bg.dbpedia.org/resource/Ростов_на_Дон	https://krr.triply.cc/krr/metalink/id/link/211807415
http://az.dbpedia.org/resource/Rostov-na-Donu	http://br.dbpedia.org/resource/Rostov-an-Don	https://krr.triply.cc/krr/metalink/id/link/211807417
http://az.dbpedia.org/resource/Rostov-na-Donu	http://ca.dbpedia.org/resource/Rostov_del_Don	https://krr.triply.cc/krr/metalink/id/link/211807419
http://az.dbpedia.org/resource/Rostov-na-Donu	http://commons.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807421
